Year,State,Value
1997,OH,36.9
1995,SD,37
2007,US,37
1995,ME,37
2001,AR,37
2009,US,37.1
2001,GU,37.1
1995,AR,37.2
1993,SC,37.3
1997,MT,37.3
1997,WY,37.4
1993,TN,37.4
1997,IA,37.5
1997,IA,37.5
1995,NC,37.5
1995,ME,37.6
1997,MS,37.6
1997,US,37.7
1999,SC,37.7
1997,ME,37.7
1997,VT,37.8
1995,ME,37.8
1999,US,37.8
1993,TN,37.8
1999,WI,37.8
1999,AR,37.9
2005,MT,38
1995,SD,38
1993,WV,38
1995,WY,38
1997,OH,38.1
1997,MA,38.1
1999,WI,38.1
1997,MT,38.1
1997,WY,38.1
1997,MI,38.2
1997,MI,38.2
1997,LA,38.2
1997,MI,38.2
1999,ND,38.2
2009,VT,38.2
1999,WI,38.2
2001,AR,38.3
1995,US,38.3
1997,VT,38.3
1997,LA,38.4
1995,ND,38.4
1999,US,38.6
1997,SC,38.6
1995,ME,38.7
1997,ME,38.7
1995,ND,38.7
1997,VT,38.8
1997,MT,38.8
1993,WV,38.9
1995,SD,38.9
1999,HI,38.9
1995,GU,39
2009,WY,39
2005,ND,39.1
2001,GU,39.1
1999,DE,39.2
1993,SD,39.2
1997,ME,39.2
1995,WY,39.2
1993,WV,39.4
1999,MO,39.4
1995,MO,39.4
1997,GU,39.4
1997,AL,39.5
1995,WY,39.5
1999,AR,39.6
1995,VT,39.6
1997,IA,39.6
1995,ND,39.6
1999,WI,39.6
1995,MS,39.6
1997,US,39.7
1997,MO,39.7
1993,WV,39.7
1999,VT,39.7
1997,WI,39.8
1995,WY,39.8
1995,MO,39.8
1995,NH,39.9
1995,MA,39.9
1999,AL,40
1995,VT,40
1999,OH,40
1995,AR,40.1
1997,RI,40.1
1999,OH,40.1
1999,ND,40.2
1997,NY,40.2
1995,MO,40.2
1999,OH,40.3
1997,MO,40.3
1995,VT,40.3
1999,OH,40.5
1995,ND,40.5
1999,ND,40.6
1997,SC,40.6
1999,WV,40.6
1997,ME,40.8
1997,MO,40.8
1995,MO,40.8
1997,AR,40.8
2009,ME,40.9
1999,AL,41
1999,ND,41
1997,MI,41.1
2005,MI,41.1
1995,GU,41.1
1997,AL,41.2
1999,AR,41.2
1997,WV,41.3
2011,MT,41.4
1997,GU,41.6
1997,WV,41.6
1999,SD,41.8
2007,AZ,41.9
1999,SC,41.9
1999,WV,41.9
1997,WV,41.9
1999,SD,42
1995,SC,42
1999,WV,42.2
1997,WV,42.4
1995,WV,42.5
1995,UT,42.6
1999,AR,42.7
1993,MS,42.7
1997,SD,42.8
1995,WV,43
1995,WV,43.1
1997,AR,43.2
1995,GU,43.3
1997,MO,43.4
1995,IL,43.4
1995,WV,43.4
1997,SD,43.6
1999,SD,43.6
1999,WV,43.7
1995,AR,43.8
1999,MS,43.8
1997,SD,44
2001,GU,44
1997,MS,44.1
2003,AK,44.2
1997,SD,44.3
1997,US,44.4
1997,GU,44.7
2007,MT,44.9
1993,MT,45
2001,US,45.1
2003,MT,45.2
1997,KY,45.3
1999,SD,45.5
1997,AR,45.6
2005,OK,45.6
1999,SC,45.9
2007,ND,46.5
1995,WY,46.9
1997,KY,47
1999,WY,47.2
1997,SC,47.2
1997,WY,47.3
1997,LA,47.3
1995,MS,47.4
1997,KY,47.7
2003,ND,48
1997,AR,48.1
1997,GU,48.3
1997,KY,48.4
1995,MT,49.1
1997,MT,51.3
2007,SD,53.9
2001,MT,57.2
2001,SD,59.2
1999,MT,61.7
1995,AK,61.9
2003,SD,62.3
